Id_Data,Id_Place,Basin,Sub_Basin,Stand_Code,Bank,Cod_Plg,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex,Basin_Code,Bank_Code,is_headwater,d_Sinuosity,d_Gradient_pct,d_Width_Mean,d_SPI_Width,d_Basal_Area,d_P50_Height,d_Height_IQR,d_StructuralIndex,up_Standing_Dead_Trees,up_Dead_Wood,up_Regeneration,up_Lat_Connectivity,up_LW_Presence
30,15,Arve,Arve,A-A15,Right ,A-A15-Right,3,3,1.404,80.5,4,0.26,1.7,133.4,6971,3,2,22,19.05,8,0,2,1,0,1,2,3,3,0.739337963,0,1,0,-0.109,-0.087808166,20.72789394,-1.256532914,8,-1.25,0.15,-0.156010912,2,3,3,4,3
31,16,Arve,Arve,A-A16,Left ,A-A16-Left,2,2,1.202,56.5,4,0.25,2.3,129.1,4007,2,3,21,23,6,0,3,2,1,0,0,5,4,0.875153574,0,0,0,-0.202,-0.008649331,-23.99983838,0.627784902,7,3.55,-3.2,-0.040308333,1,2,2,4,4
32,16,Arve,Arve,A-A16,Right ,A-A16-Right,2,2,1.202,56.5,4,0.25,2.3,129.1,4007,3,2,13,22.2,6.2,1,3,1,1,1,1,2,2,0.899019035,0,1,0,-0.202,-0.008649331,-23.99983838,0.627784902,-9,3.15,-1.8,0.159681072,3,4,2,4,4
33,17,Arve,Arve,A-A17,Left ,A-A17-Left,4,1,2.084,63.5,3,0.23,1.9,119.2,4783,2,2,13,23,6.2,0,0,2,0,0,1,2,2,0.637251511,0,0,0,0.882,-0.019582081,6.995611111,-0.407771682,-8,0,0.2,-0.237902063,2,2,3,4,2
34,17,Arve,Arve,A-A17,Right ,A-A17-Right,4,1,2.08,63.5,3,0.23,1.9,119.2,4783,1,1,25,20.7,6.1,0,5,1,0,0,1,3,3,0.870115297,0,1,0,0.882,-0.019582081,6.995611111,-0.407771682,12,-1.5,-0.1,-0.028903738,3,3,2,4,2
35,18,Arve,Giffre,A-G1,Left ,A-G1-Left,3,4,1.329,26.3,4,6.09,21.6,568.5,6143,3,3,19,21.2,9.5,1,4,1,1,1,0,3,3,0.931985501,0,0,1,0,0,0,0,0,0,0,0,3,4,3,4,3
36,18,Arve,Giffre,A-G1,Right ,A-G1-Right,3,4,1.33,26.3,4,6.09,21.6,568.5,6143,4,3,28,20,12.5,1,4,1,1,1,0,2,2,0.960391111,0,1,1,0,0,0,0,0,0,0,0,4,4,3,4,3
37,19,Arve,Giffre,A-G2,Left ,A-G2-Left,2,3,1.095,22.9,4,1.58,9.5,217.9,3473,2,2,16,20.6,9.9,1,4,1,1,1,0,4,4,0.920983859,0,0,0,-0.234,-4.504585243,-3.448517857,-12.07946566,-3,-0.6,0.4,-0.011001642,3,4,3,4,3
38,19,Arve,Giffre,A-G2,Right ,A-G2-Right,2,3,1.10,22.9,4,1.58,9.5,217.9,3473,3,2,22,20.1,11.8,1,3,0,1,1,0,2,2,0.841682484,0,1,0,-0.234,-4.504585243,-3.448517857,-12.07946566,-6,0.1,-0.7,-0.118708626,4,4,3,4,3
39,20,Arve,Giffre,A-G3,Left ,A-G3-Left,1,4,1.071,33.0,4,1.00,5.0,164.9,4487,4,2,21,21.6,12.5,1,3,1,1,1,0,3,3,0.823267924,0,0,0,-0.024,-0.580748005,10.09642857,-4.529913047,5,1,2.6,-0.097715935,2,3,2,4,2
